endTime,artistName,trackName,msPlayed,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2022-08-26 07:32,Pink Floyd,Echoes - 2011 Remastered Version,486296,ID not found,,,,,,,,,,,,
2022-08-30 12:22,Sedef Adasi,Tender Trip,348530,3hrtnaNhlZ3pBdhxo4Pifb,0.8,0.872,0.0,-8.587,1.0,0.0679,0.00295,0.919,0.282,0.652,130.02,4.0
2022-08-30 12:29,Sedef Adasi,Tender Trip,390231,3hrtnaNhlZ3pBdhxo4Pifb,0.8,0.872,0.0,-8.587,1.0,0.0679,0.00295,0.919,0.282,0.652,130.02,4.0
2022-08-30 12:51,The xx,Fiction,5718,3olg92Ond8NmItOZVXrmON,0.785,0.362,7.0,-13.785,0.0,0.0373,0.693,0.411,0.0897,0.641,115.022,4.0
2022-08-30 12:58,Sedef Adasi,Tender Trip,390231,3hrtnaNhlZ3pBdhxo4Pifb,0.8,0.872,0.0,-8.587,1.0,0.0679,0.00295,0.919,0.282,0.652,130.02,4.0
2022-08-30 13:04,Tim Hecker,Black Phase,375593,2H257l9Z2K9enRZbGLLj5P,0.0849,0.302,9.0,-14.383,0.0,0.0389,0.206,0.843,0.0915,0.0545,57.637,4.0
2022-08-30 13:09,Moderat,Eating Hooks,271960,30f9UpPwuuiSsiohNpABXw,0.689,0.361,0.0,-11.166,0.0,0.0351,0.185,0.338,0.47,0.129,124.011,4.0
2022-08-30 13:13,Robyn,Beach2k20 - Yaeji Remix,295537,4cusyDRGntP0EkHGwvN4VS,0.846,0.557,9.0,-8.222,0.0,0.0701,0.0232,0.0071,0.288,0.679,120.969,4.0
2022-08-30 13:18,DJ Seinfeld,Someday,277106,0cVdMdtrHdCuHQBWjzvQed,0.628,0.893,8.0,-8.908,0.0,0.121,0.0474,0.449,0.136,0.693,135.982,4.0
2022-08-30 13:24,Christopher von Deylen,Free,347601,6ENvMPhRRvXhqf0HJVTR5k,0.629,0.645,2.0,-13.331,0.0,0.048,0.293,0.881,0.792,0.088,119.999,4.0
2022-08-30 13:29,Florian Bernz,Your Eyes,328000,2Elws2niH21eLVWZd34VbP,0.713,0.767,7.0,-7.788,0.0,0.0663,0.135,0.895,0.0813,0.0866,120.036,4.0
